isolation_location,n_entries,n_species,n_plastics,years,most_common_plastic
India,272,123,21,"[2003.0, 2004.0, 2007.0, 2008.0, 2009.0, 2010.0, 2011.0, 2012.0, 2013.0, 2014.0, 2015.0, 2016.0, 2017.0, 2018.0, 2019.0, 2020.0, 2021.0, 2022.0, 2023.0]",LDPE
Japan,195,92,22,"[1975.0, 1989.0, 1994.0, 1995.0, 1997.0, 1998.0, 1999.0, 2000.0, 2001.0, 2002.0, 2003.0, 2004.0, 2006.0, 2007.0, 2008.0, 2009.0, 2010.0, 2011.0, 2012.0, 2013.0, 2014.0, 2016.0, 2017.0, 2018.0, 2019.0, 2020.0, 2021.0, 2023.0]",PCL
South Korea,160,122,20,"[1999.0, 2000.0, 2002.0, 2003.0, 2005.0, 2010.0, 2012.0, 2013.0, 2016.0, 2017.0, 2021.0, 2022.0, 2023.0]",PCL
France,117,67,3,"[2009.0, 2021.0, 2022.0]",PU
Thailand,75,46,11,"[2007.0, 2008.0, 2009.0, 2011.0, 2014.0, 2015.0, 2017.0, 2018.0, 2021.0, 2022.0, 2023.0]",PLA
China,72,50,16,"[2007.0, 2010.0, 2011.0, 2012.0, 2015.0, 2018.0, 2019.0, 2020.0, 2021.0, 2022.0, 2023.0]",PVA
Sri Lanka,68,18,1,[2023.0],LDPE
Slovakia,52,27,2,[2018.0],PHB
Pakistan,43,25,10,"[2008.0, 2009.0, 2010.0, 2013.0, 2015.0, 2017.0, 2018.0, 2021.0, 2022.0, 2023.0]",PE
Poland,42,29,5,"[2011.0, 2016.0, 2022.0, 2023.0]",PE
Spain,39,15,7,"[1991.0, 2012.0, 2020.0, 2021.0]",PHO
Iran,38,29,6,"[2010.0, 2013.0, 2018.0, 2019.0, 2020.0, 2022.0, 2023.0]",LDPE
Switzerland,28,17,3,"[2018.0, 2021.0, 2023.0]",PU
Taiwan,27,13,9,"[2007.0, 2008.0, 2012.0, 2013.0, 2014.0, 2016.0, 2018.0, 2022.0, 2023.0]",PBAT
Nigeria,27,20,2,"[2013.0, 2015.0, 2022.0, 2023.0]",PVC
USA,26,23,7,"[1983.0, 1986.0, 1994.0, 1998.0, 1999.0, 2003.0, 2019.0, 2021.0, 2022.0]",PU
Germany,26,18,11,"[1991.0, 1998.0, 2001.0, 2004.0, 2012.0, 2014.0, 2021.0, 2022.0, 2023.0]",PCL
French Guiana,25,21,1,[2021.0],PU
Korea,20,14,9,"[2022.0, 2023.0]",PS
Svalbard,17,8,4,[2017.0],PCL
Belgium,17,15,4,"[1992.0, 1993.0, 1994.0, 1995.0, 2000.0, 2018.0, 2021.0]",PHB
Martinique,17,16,1,[2021.0],PU
Vietnam,17,14,4,"[2010.0, 2013.0, 2018.0]",PHA
Philippines,15,15,3,"[1999.0, 2017.0, 2023.0]",LDPE
Egypt,15,7,5,"[2001.0, 2017.0, 2022.0, 2023.0]",LDPE
UK,14,14,1,"[1991.0, 2007.0, 2014.0]",PU
Tanzania,14,11,1,[2022.0],PE
Turkey,14,13,3,"[2000.0, 2017.0, 2022.0]",PCL
Mexico,13,9,5,"[2007.0, 2016.0, 2021.0, 2023.0]",PU
Brazil,11,7,5,"[2013.0, 2017.0, 2019.0, 2021.0, 2022.0]",PE
Malaysia,10,5,5,"[2011.0, 2017.0, 2018.0]",PP
Portugal,9,3,3,[2022.0],LDPE
Serbia,9,9,1,[2023.0],PU
Norway,9,6,3,[2023.0],PU
Czech Republic,8,8,2,"[2014.0, 2022.0]",HDPE
Greenland,8,4,3,[2023.0],PBAT
Pacific Ocean,7,6,3,"[2020.0, 2022.0, 2023.0]",PET
Croatia,6,4,2,"[2021.0, 2022.0]",PS
Bahamas,6,1,1,[2021.0],PU
