organism,tax_id,plastic,reference,enzyme_name,enzyme_id,db_enzyme_name,gene,genbank_id,year,evidence,plastic_used,manufacturer,analytical_grade,thermophilic,isolation_sample,isolation_environment,isolation_location,extrapolated_from_enzyme,enzyme_id_in_paper,doi,has_sequence,has_genbank,has_enzyme,plastic_category,plastic_full_name,genus,species,decade,evidence_score,evidence_tier
Ralstonia pickettii,329,PHB,"Yukawa, H., Uchida, Y., Kohama, K., & Kurusu, Y. (1994). Monitoring of polymer biodegradabilities in the environment by a DNA probe method. In Studies in Polymer Science (Vol. 12, pp. 65-76). Elsevier.",PHB depolymerase,00001,00001 | PHB depolymerase | Ralstonia pickettii | PHB PHA,Yes,BAA04986.1,1994.0,,,,,,Soil,Soil,Japan,True,,,True,True,True,Biodegradable/Bio-based,Polyhydroxybutyrate,Ralstonia,pickettii,1990,40.0,Medium
Ralstonia pickettii,329,PHA,"Yukawa, H., Uchida, Y., Kohama, K., & Kurusu, Y. (1994). Monitoring of polymer biodegradabilities in the environment by a DNA probe method. In Studies in Polymer Science (Vol. 12, pp. 65-76). Elsevier.",PHB depolymerase,00001,00001 | PHB depolymerase | Ralstonia pickettii | PHB PHA,Yes,BAA04986.1,1994.0,,,,,,Soil,Soil,Japan,True,,,True,True,True,Biodegradable/Bio-based,Polyhydroxyalkanoate,Ralstonia,pickettii,1990,40.0,Medium
Pseudomonas fluorescens,294,PHO,"Schirmer, A., & Jendrossek, D. (1994). Molecular characterization of the extracellular poly (3-hydroxyoctanoic acid)[P (3HO)] depolymerase gene of Pseudomonas fluorescens GK13 and of its gene product. Journal of bacteriology, 176(22), 7065-7073.",PHA depolymerase,00002,00002 | PHA depolymerase | Pseudomonas fluorescens | PHO PHA,Yes,AAA64538.1,1994.0,Clear zone;Spectrophotometry," P(3HO) was isolated from P. oleovorans grown in minimal medium with sodium octanoate (0.75%, wtlvol) as the carbon source",,True,False,,,,True,,,True,True,True,Biodegradable/Bio-based,Polyhydroxyoctanoate,Pseudomonas,fluorescens,1990,55.0,High
Pseudomonas fluorescens,294,PHA,"Schirmer, A., & Jendrossek, D. (1994). Molecular characterization of the extracellular poly (3-hydroxyoctanoic acid)[P (3HO)] depolymerase gene of Pseudomonas fluorescens GK13 and of its gene product. Journal of bacteriology, 176(22), 7065-7073.",PHA depolymerase,00002,00002 | PHA depolymerase | Pseudomonas fluorescens | PHO PHA,Yes,AAA64538.1,1994.0,Clear zone;Spectrophotometry," P(3HO) was isolated from P. oleovorans grown in minimal medium with sodium octanoate (0.75%, wtlvol) as the carbon source",,True,False,,,,True,,,True,True,True,Biodegradable/Bio-based,Polyhydroxyalkanoate,Pseudomonas,fluorescens,1990,55.0,High
Paucimonas lemoignei,29443,PHB,"Jendrossek, D. I. E. T. E. R., Frisse, A. N. D. R. E. A., Behrends, A. S. T. R. I. D., Andermann, M. E. I. K. E., Kratzin, H. D., Stanislawski, T. H. O. M. A. S., & Schlegel, H. G. (1995). Biochemical and molecular characterization of the Pseudomonas lemoignei polyhydroxyalkanoate depolymerase system. Journal of Bacteriology, 177(3), 596-607.",PHB depolymerase A,00003,00003 | PHB depolymerase-A | Paucimonas lemoignei | PHB PHA,Yes,AAA65705.1,1995.0,Clear zone,"The homopolyester PHB was isolated from sodium gluconate-grown cells of A. eutrophus H16 (51), by the sodium hypochlorite method as described previously (26, 36).",,True,False,Culture collection,Culture collection,,False,,,True,True,True,Biodegradable/Bio-based,Polyhydroxybutyrate,Paucimonas,lemoignei,1990,70.0,High
Paucimonas lemoignei,29443,PHA,"Jendrossek, D. I. E. T. E. R., Frisse, A. N. D. R. E. A., Behrends, A. S. T. R. I. D., Andermann, M. E. I. K. E., Kratzin, H. D., Stanislawski, T. H. O. M. A. S., & Schlegel, H. G. (1995). Biochemical and molecular characterization of the Pseudomonas lemoignei polyhydroxyalkanoate depolymerase system. Journal of Bacteriology, 177(3), 596-607.",PHB depolymerase A,00003,00003 | PHB depolymerase-A | Paucimonas lemoignei | PHB PHA,Yes,AAA65705.1,1995.0,Clear zone,"The homopolyester PHB was isolated from sodium gluconate-grown cells of A. eutrophus H16 (51), by the sodium hypochlorite method as described previously (26, 36).",,True,False,Culture collection,Culture collection,,False,,,True,True,True,Biodegradable/Bio-based,Polyhydroxyalkanoate,Paucimonas,lemoignei,1990,70.0,High
Paucimonas lemoignei,29443,PHB,"Jendrossek, D. I. E. T. E. R., Frisse, A. N. D. R. E. A., Behrends, A. S. T. R. I. D., Andermann, M. E. I. K. E., Kratzin, H. D., Stanislawski, T. H. O. M. A. S., & Schlegel, H. G. (1995). Biochemical and molecular characterization of the Pseudomonas lemoignei polyhydroxyalkanoate depolymerase system. Journal of Bacteriology, 177(3), 596-607.",PHB-depolymerase,00004,00004 | PHB depolymerase | Paucimonas lemoignei | PHB PHA,Yes,WP_132258119.1,1995.0,Clear zone,"The homopolyester PHB was isolated from sodium gluconate-grown cells of A. eutrophus H16 (51), by the sodium hypochlorite method as described previously (26, 36).",,True,False,Culture collection,Culture collection,,False,,,True,True,True,Biodegradable/Bio-based,Polyhydroxybutyrate,Paucimonas,lemoignei,1990,70.0,High
Paucimonas lemoignei,29443,PHA,"Jendrossek, D. I. E. T. E. R., Frisse, A. N. D. R. E. A., Behrends, A. S. T. R. I. D., Andermann, M. E. I. K. E., Kratzin, H. D., Stanislawski, T. H. O. M. A. S., & Schlegel, H. G. (1995). Biochemical and molecular characterization of the Pseudomonas lemoignei polyhydroxyalkanoate depolymerase system. Journal of Bacteriology, 177(3), 596-607.",PHB-depolymerase,00004,00004 | PHB depolymerase | Paucimonas lemoignei | PHB PHA,Yes,WP_132258119.1,1995.0,Clear zone,"The homopolyester PHB was isolated from sodium gluconate-grown cells of A. eutrophus H16 (51), by the sodium hypochlorite method as described previously (26, 36).",,True,False,Culture collection,Culture collection,,False,,,True,True,True,Biodegradable/Bio-based,Polyhydroxyalkanoate,Paucimonas,lemoignei,1990,70.0,High
Paucimonas lemoignei,29443,PHB,"Jendrossek, D. I. E. T. E. R., Frisse, A. N. D. R. E. A., Behrends, A. S. T. R. I. D., Andermann, M. E. I. K. E., Kratzin, H. D., Stanislawski, T. H. O. M. A. S., & Schlegel, H. G. (1995). Biochemical and molecular characterization of the Pseudomonas lemoignei polyhydroxyalkanoate depolymerase system. Journal of Bacteriology, 177(3), 596-607.",PHA depolymerase B,00005,00005 | PHA depolymerase B | Paucimonas lemoignei | PHB PHA,Yes,AAB17150.1,1995.0,Clear zone,"The homopolyester PHB was isolated from sodium gluconate-grown cells of A. eutrophus H16 (51), by the sodium hypochlorite method as described previously (26, 36).",,True,False,Culture collection,Culture collection,,False,,,True,True,True,Biodegradable/Bio-based,Polyhydroxybutyrate,Paucimonas,lemoignei,1990,70.0,High
Paucimonas lemoignei,29443,PHA,"Jendrossek, D. I. E. T. E. R., Frisse, A. N. D. R. E. A., Behrends, A. S. T. R. I. D., Andermann, M. E. I. K. E., Kratzin, H. D., Stanislawski, T. H. O. M. A. S., & Schlegel, H. G. (1995). Biochemical and molecular characterization of the Pseudomonas lemoignei polyhydroxyalkanoate depolymerase system. Journal of Bacteriology, 177(3), 596-607.",PHA depolymerase B,00005,00005 | PHA depolymerase B | Paucimonas lemoignei | PHB PHA,Yes,AAB17150.1,1995.0,Clear zone,"The homopolyester PHB was isolated from sodium gluconate-grown cells of A. eutrophus H16 (51), by the sodium hypochlorite method as described previously (26, 36).",,True,False,Culture collection,Culture collection,,False,,,True,True,True,Biodegradable/Bio-based,Polyhydroxyalkanoate,Paucimonas,lemoignei,1990,70.0,High
Paucimonas lemoignei,29443,PHB,"Jendrossek, D. I. E. T. E. R., Frisse, A. N. D. R. E. A., Behrends, A. S. T. R. I. D., Andermann, M. E. I. K. E., Kratzin, H. D., Stanislawski, T. H. O. M. A. S., & Schlegel, H. G. (1995). Biochemical and molecular characterization of the Pseudomonas lemoignei polyhydroxyalkanoate depolymerase system. Journal of Bacteriology, 177(3), 596-607.",PHB depolymerase,00006,00006 | PHB depolymerase | Paucimonas lemoignei | PHB PHA,Yes,WP_132257894.1,1995.0,Clear zone,"The homopolyester PHB was isolated from sodium gluconate-grown cells of A. eutrophus H16 (51), by the sodium hypochlorite method as described previously (26, 36).",,True,False,Culture collection,Culture collection,,False,,,True,True,True,Biodegradable/Bio-based,Polyhydroxybutyrate,Paucimonas,lemoignei,1990,70.0,High
Paucimonas lemoignei,29443,PHA,"Jendrossek, D. I. E. T. E. R., Frisse, A. N. D. R. E. A., Behrends, A. S. T. R. I. D., Andermann, M. E. I. K. E., Kratzin, H. D., Stanislawski, T. H. O. M. A. S., & Schlegel, H. G. (1995). Biochemical and molecular characterization of the Pseudomonas lemoignei polyhydroxyalkanoate depolymerase system. Journal of Bacteriology, 177(3), 596-607.",PHB depolymerase,00006,00006 | PHB depolymerase | Paucimonas lemoignei | PHB PHA,Yes,WP_132257894.1,1995.0,Clear zone,"The homopolyester PHB was isolated from sodium gluconate-grown cells of A. eutrophus H16 (51), by the sodium hypochlorite method as described previously (26, 36).",,True,False,Culture collection,Culture collection,,False,,,True,True,True,Biodegradable/Bio-based,Polyhydroxyalkanoate,Paucimonas,lemoignei,1990,70.0,High
Paucimonas lemoignei,29443,PHB,"Jendrossek, D. I. E. T. E. R., Frisse, A. N. D. R. E. A., Behrends, A. S. T. R. I. D., Andermann, M. E. I. K. E., Kratzin, H. D., Stanislawski, T. H. O. M. A. S., & Schlegel, H. G. (1995). Biochemical and molecular characterization of the Pseudomonas lemoignei polyhydroxyalkanoate depolymerase system. Journal of Bacteriology, 177(3), 596-607.",PHB depolymerase,00007,00007 | PHB depolymerase | Paucimonas lemoignei | PHB PHA,Yes,WP_132256575.1,1995.0,Clear zone,"The homopolyester PHB was isolated from sodium gluconate-grown cells of A. eutrophus H16 (51), by the sodium hypochlorite method as described previously (26, 36).",,True,False,Culture collection,Culture collection,,False,,,True,True,True,Biodegradable/Bio-based,Polyhydroxybutyrate,Paucimonas,lemoignei,1990,70.0,High
