year,n_entries,n_unique_species,n_unique_plastics,n_with_sequence,rolling_3yr,yoy_growth_pct,cumulative_entries,cumulative_species
1974.0,1,1,1,0,,,1,1.0
1975.0,3,1,1,3,1.6666666666666667,200.0,4,2.0
1977.0,1,1,1,0,3.0,-66.66666666666667,5,3.0
1983.0,5,5,2,0,2.6666666666666665,400.0,10,8.0
1986.0,2,2,1,0,6.0,-60.0,12,10.0
1987.0,11,11,1,0,6.0,450.0,23,19.0
1988.0,5,5,2,0,5.666666666666667,-54.54545454545454,28,23.0
1989.0,1,1,1,1,3.0,-80.0,29,23.0
1990.0,3,2,2,2,5.333333333333333,200.0,32,24.0
1991.0,12,12,4,0,10.0,300.0,44,35.0
1992.0,15,15,4,0,10.666666666666666,25.0,59,46.0
1993.0,5,3,3,0,9.666666666666666,-66.66666666666667,64,48.0
1994.0,9,7,4,4,11.666666666666666,80.0,73,52.0
1995.0,21,10,5,10,15.333333333333334,133.33333333333334,94,60.0
1996.0,16,14,3,3,18.333333333333332,-23.809523809523814,110,69.0
1997.0,18,9,9,6,27.333333333333332,12.5,128,73.0
1998.0,48,29,10,2,49.0,166.66666666666666,176,95.0
1999.0,81,30,16,25,58.0,68.75,257,116.0
2000.0,45,27,17,8,47.666666666666664,-44.44444444444444,302,132.0
2001.0,17,11,6,1,29.0,-62.22222222222222,319,139.0
2002.0,25,23,9,3,24.0,47.058823529411775,344,153.0
2003.0,30,20,13,5,31.666666666666668,19.999999999999996,374,167.0
2004.0,40,18,15,6,32.333333333333336,33.33333333333333,414,179.0
2005.0,27,14,14,22,30.0,-32.49999999999999,441,184.0
2006.0,23,12,11,4,26.333333333333332,-14.814814814814813,464,190.0
2007.0,29,22,8,10,34.666666666666664,26.086956521739136,493,204.0
2008.0,52,19,15,25,40.666666666666664,79.3103448275862,545,209.0
2009.0,41,30,19,6,44.666666666666664,-21.153846153846157,586,230.0
2010.0,41,30,15,7,44.0,0.0,627,244.0
2011.0,50,40,11,9,56.666666666666664,21.95121951219512,677,269.0
2012.0,79,34,17,27,57.333333333333336,58.00000000000001,756,291.0
2013.0,43,35,16,10,58.666666666666664,-45.56962025316456,799,306.0
2014.0,54,38,19,18,47.333333333333336,25.581395348837212,853,324.0
2015.0,45,24,18,20,56.666666666666664,-16.666666666666664,898,334.0
2016.0,71,41,21,17,81.0,57.77777777777777,969,359.0
2017.0,127,76,22,16,123.0,78.87323943661973,1096,389.0
2018.0,171,107,18,25,114.33333333333333,34.645669291338585,1267,446.0
2019.0,45,30,13,5,83.66666666666667,-73.6842105263158,1312,453.0
2020.0,35,24,9,2,119.0,-22.22222222222222,1347,468.0
2021.0,277,160,13,21,233.0,691.4285714285714,1624,597.0
2022.0,387,231,28,75,361.6666666666667,39.71119133574008,2011,748.0
2023.0,421,198,20,26,303.3333333333333,8.785529715762275,2432,863.0
2025.0,102,77,2,102,,-75.77197149643705,2534,932.0
