variant,query,repetition,latency_ms
no_bioplastics_metadata,count_all_sequences,1,0.035576
no_bioplastics_metadata,count_all_sequences,2,0.034637
no_bioplastics_metadata,count_all_sequences,3,0.035132
no_bioplastics_metadata,count_all_sequences,4,0.069451
no_bioplastics_metadata,count_all_sequences,5,0.035105
no_bioplastics_metadata,count_all_sequences,6,0.033853
no_bioplastics_metadata,count_all_sequences,7,0.033372
no_bioplastics_metadata,count_all_sequences,8,0.726623
no_bioplastics_metadata,count_all_sequences,9,3.10143
no_bioplastics_metadata,count_all_sequences,10,0.108027
no_bioplastics_metadata,count_all_sequences,11,0.036678
no_bioplastics_metadata,count_all_sequences,12,0.033832
no_bioplastics_metadata,count_all_sequences,13,0.052124
no_bioplastics_metadata,count_all_sequences,14,0.036463
no_bioplastics_metadata,count_all_sequences,15,0.043944
no_bioplastics_metadata,count_all_sequences,16,0.033873
no_bioplastics_metadata,count_all_sequences,17,0.041806
no_bioplastics_metadata,count_all_sequences,18,0.038768
no_bioplastics_metadata,count_all_sequences,19,0.033989
no_bioplastics_metadata,count_all_sequences,20,0.03349
no_bioplastics_metadata,count_all_sequences,21,0.033203
no_bioplastics_metadata,count_all_sequences,22,0.033383
no_bioplastics_metadata,count_all_sequences,23,0.033412
no_bioplastics_metadata,count_all_sequences,24,0.033325
no_bioplastics_metadata,count_all_sequences,25,0.033313
no_bioplastics_metadata,count_all_sequences,26,0.033729
no_bioplastics_metadata,count_all_sequences,27,0.033991
no_bioplastics_metadata,count_all_sequences,28,0.034004
no_bioplastics_metadata,count_all_sequences,29,0.033042
no_bioplastics_metadata,count_all_sequences,30,0.033472
no_bioplastics_metadata,average_sequence_length,1,16.046089
no_bioplastics_metadata,average_sequence_length,2,16.003018
no_bioplastics_metadata,average_sequence_length,3,15.747289
no_bioplastics_metadata,average_sequence_length,4,15.959285
no_bioplastics_metadata,average_sequence_length,5,16.34273
no_bioplastics_metadata,average_sequence_length,6,15.976751
no_bioplastics_metadata,average_sequence_length,7,18.593616
no_bioplastics_metadata,average_sequence_length,8,15.49644
no_bioplastics_metadata,average_sequence_length,9,19.334972
no_bioplastics_metadata,average_sequence_length,10,16.253713
no_bioplastics_metadata,average_sequence_length,11,16.125699
no_bioplastics_metadata,average_sequence_length,12,15.989598
no_bioplastics_metadata,average_sequence_length,13,16.033301
no_bioplastics_metadata,average_sequence_length,14,16.228811
no_bioplastics_metadata,average_sequence_length,15,17.544259
no_bioplastics_metadata,average_sequence_length,16,16.052585
no_bioplastics_metadata,average_sequence_length,17,16.193606
no_bioplastics_metadata,average_sequence_length,18,16.390703
no_bioplastics_metadata,average_sequence_length,19,16.016019
no_bioplastics_metadata,average_sequence_length,20,16.329947
no_bioplastics_metadata,average_sequence_length,21,16.861445
no_bioplastics_metadata,average_sequence_length,22,16.287771
no_bioplastics_metadata,average_sequence_length,23,15.983407
no_bioplastics_metadata,average_sequence_length,24,16.124407
no_bioplastics_metadata,average_sequence_length,25,16.053434
no_bioplastics_metadata,average_sequence_length,26,16.657451
no_bioplastics_metadata,average_sequence_length,27,16.303364
no_bioplastics_metadata,average_sequence_length,28,17.995538
no_bioplastics_metadata,average_sequence_length,29,16.098759
no_bioplastics_metadata,average_sequence_length,30,15.899207
no_bioplastics_metadata,gc_range_count,1,5.054234
no_bioplastics_metadata,gc_range_count,2,4.974389
no_bioplastics_metadata,gc_range_count,3,4.880407
no_bioplastics_metadata,gc_range_count,4,5.317778
no_bioplastics_metadata,gc_range_count,5,5.290555
no_bioplastics_metadata,gc_range_count,6,5.184303
no_bioplastics_metadata,gc_range_count,7,5.907286
no_bioplastics_metadata,gc_range_count,8,5.176488
no_bioplastics_metadata,gc_range_count,9,5.095312
no_bioplastics_metadata,gc_range_count,10,5.319213
no_bioplastics_metadata,gc_range_count,11,5.179646
no_bioplastics_metadata,gc_range_count,12,5.127217
no_bioplastics_metadata,gc_range_count,13,5.08808
no_bioplastics_metadata,gc_range_count,14,5.001422
no_bioplastics_metadata,gc_range_count,15,5.740837
no_bioplastics_metadata,gc_range_count,16,5.095141
no_bioplastics_metadata,gc_range_count,17,5.114533
no_bioplastics_metadata,gc_range_count,18,5.075496
no_bioplastics_metadata,gc_range_count,19,5.420903
no_bioplastics_metadata,gc_range_count,20,5.433816
no_bioplastics_metadata,gc_range_count,21,5.306428
no_bioplastics_metadata,gc_range_count,22,5.074514
no_bioplastics_metadata,gc_range_count,23,5.184185
no_bioplastics_metadata,gc_range_count,24,5.280429
no_bioplastics_metadata,gc_range_count,25,5.239042
no_bioplastics_metadata,gc_range_count,26,5.05107
no_bioplastics_metadata,gc_range_count,27,5.461201
no_bioplastics_metadata,gc_range_count,28,5.131606
no_bioplastics_metadata,gc_range_count,29,5.070854
no_bioplastics_metadata,gc_range_count,30,5.050882
no_bioplastics_metadata,top_100_longest,1,0.327505
no_bioplastics_metadata,top_100_longest,2,0.268956
no_bioplastics_metadata,top_100_longest,3,0.105397
no_bioplastics_metadata,top_100_longest,4,0.194899
no_bioplastics_metadata,top_100_longest,5,0.1229
no_bioplastics_metadata,top_100_longest,6,0.100308
no_bioplastics_metadata,top_100_longest,7,0.100118
no_bioplastics_metadata,top_100_longest,8,0.099374
no_bioplastics_metadata,top_100_longest,9,0.099349
no_bioplastics_metadata,top_100_longest,10,0.099226
no_bioplastics_metadata,top_100_longest,11,0.098965
no_bioplastics_metadata,top_100_longest,12,0.112051
no_bioplastics_metadata,top_100_longest,13,0.104406
no_bioplastics_metadata,top_100_longest,14,0.099186
no_bioplastics_metadata,top_100_longest,15,0.122159
no_bioplastics_metadata,top_100_longest,16,0.099278
no_bioplastics_metadata,top_100_longest,17,0.099009
no_bioplastics_metadata,top_100_longest,18,0.099386
no_bioplastics_metadata,top_100_longest,19,0.106071
no_bioplastics_metadata,top_100_longest,20,0.103969
no_bioplastics_metadata,top_100_longest,21,0.270115
no_bioplastics_metadata,top_100_longest,22,0.100875
no_bioplastics_metadata,top_100_longest,23,0.118105
no_bioplastics_metadata,top_100_longest,24,0.109537
no_bioplastics_metadata,top_100_longest,25,0.100462
no_bioplastics_metadata,top_100_longest,26,0.098423
no_bioplastics_metadata,top_100_longest,27,0.099166
no_bioplastics_metadata,top_100_longest,28,0.098992
no_bioplastics_metadata,top_100_longest,29,0.099379
no_bioplastics_metadata,top_100_longest,30,0.098826
no_bioplastics_metadata,plastic_context_sequence_count,1,1.212265
no_bioplastics_metadata,plastic_context_sequence_count,2,1.081253
no_bioplastics_metadata,plastic_context_sequence_count,3,1.161408
no_bioplastics_metadata,plastic_context_sequence_count,4,1.078629
no_bioplastics_metadata,plastic_context_sequence_count,5,1.071488
