variant,query,repetition,latency_ms
no_metadata,count_all,1,0.030757
no_metadata,count_all,2,0.030357
no_metadata,count_all,3,0.030684
no_metadata,count_all,4,0.029434
no_metadata,count_all,5,0.029201
no_metadata,count_all,6,0.029198
no_metadata,count_all,7,0.028984
no_metadata,count_all,8,0.056905
no_metadata,count_all,9,0.03183
no_metadata,count_all,10,0.031052
no_metadata,count_all,11,0.030104
no_metadata,count_all,12,0.029465
no_metadata,count_all,13,0.029412
no_metadata,count_all,14,0.02984
no_metadata,count_all,15,0.029897
no_metadata,count_all,16,0.029585
no_metadata,count_all,17,0.029886
no_metadata,count_all,18,0.029634
no_metadata,count_all,19,0.03058
no_metadata,count_all,20,0.029458
no_metadata,count_all,21,0.02967
no_metadata,count_all,22,0.02976
no_metadata,count_all,23,0.029503
no_metadata,count_all,24,0.029197
no_metadata,count_all,25,0.029447
no_metadata,count_all,26,0.029587
no_metadata,count_all,27,0.029795
no_metadata,count_all,28,0.029271
no_metadata,count_all,29,0.029316
no_metadata,count_all,30,0.048299
no_metadata,length_range_count,1,0.603276
no_metadata,length_range_count,2,0.633313
no_metadata,length_range_count,3,0.660362
no_metadata,length_range_count,4,0.63994
no_metadata,length_range_count,5,0.655785
no_metadata,length_range_count,6,0.704893
no_metadata,length_range_count,7,0.640151
no_metadata,length_range_count,8,0.655965
no_metadata,length_range_count,9,0.659137
no_metadata,length_range_count,10,0.641698
no_metadata,length_range_count,11,0.679696
no_metadata,length_range_count,12,0.681181
no_metadata,length_range_count,13,0.640045
no_metadata,length_range_count,14,0.655474
no_metadata,length_range_count,15,0.673198
no_metadata,length_range_count,16,0.681223
no_metadata,length_range_count,17,0.661233
no_metadata,length_range_count,18,0.68202
no_metadata,length_range_count,19,0.639964
no_metadata,length_range_count,20,0.656189
no_metadata,length_range_count,21,0.682368
no_metadata,length_range_count,22,0.639593
no_metadata,length_range_count,23,0.65534
no_metadata,length_range_count,24,0.679315
no_metadata,length_range_count,25,0.640892
no_metadata,length_range_count,26,0.684161
no_metadata,length_range_count,27,0.657362
no_metadata,length_range_count,28,0.640369
no_metadata,length_range_count,29,0.655024
no_metadata,length_range_count,30,0.678962
no_metadata,average_length,1,14.898451
no_metadata,average_length,2,14.669044
no_metadata,average_length,3,14.79473
no_metadata,average_length,4,14.639731
no_metadata,average_length,5,15.016053
no_metadata,average_length,6,16.16448
no_metadata,average_length,7,14.922487
no_metadata,average_length,8,15.3214
no_metadata,average_length,9,14.804432
no_metadata,average_length,10,15.0067
no_metadata,average_length,11,14.95318
no_metadata,average_length,12,14.919655
no_metadata,average_length,13,14.561203
no_metadata,average_length,14,15.934687
no_metadata,average_length,15,14.82704
no_metadata,average_length,16,14.837353
no_metadata,average_length,17,14.823123
no_metadata,average_length,18,14.841198
no_metadata,average_length,19,14.70275
no_metadata,average_length,20,14.270829
no_metadata,average_length,21,14.033631
no_metadata,average_length,22,15.014119
no_metadata,average_length,23,15.136431
no_metadata,average_length,24,14.742298
no_metadata,average_length,25,14.83598
no_metadata,average_length,26,14.759011
no_metadata,average_length,27,14.673865
no_metadata,average_length,28,14.850678
no_metadata,average_length,29,14.935035
no_metadata,average_length,30,16.169984
no_metadata,gc_range_count,1,4.610059
no_metadata,gc_range_count,2,4.635694
no_metadata,gc_range_count,3,4.589968
no_metadata,gc_range_count,4,4.627516
no_metadata,gc_range_count,5,4.619031
no_metadata,gc_range_count,6,4.62672
no_metadata,gc_range_count,7,4.671819
no_metadata,gc_range_count,8,4.58052
no_metadata,gc_range_count,9,4.348134
no_metadata,gc_range_count,10,4.607019
no_metadata,gc_range_count,11,4.524794
no_metadata,gc_range_count,12,4.650221
no_metadata,gc_range_count,13,4.615059
no_metadata,gc_range_count,14,4.597916
no_metadata,gc_range_count,15,4.581544
no_metadata,gc_range_count,16,4.591868
no_metadata,gc_range_count,17,4.743221
no_metadata,gc_range_count,18,4.593474
no_metadata,gc_range_count,19,4.595635
no_metadata,gc_range_count,20,4.57715
no_metadata,gc_range_count,21,4.602259
no_metadata,gc_range_count,22,5.060269
no_metadata,gc_range_count,23,5.355156
no_metadata,gc_range_count,24,4.790451
no_metadata,gc_range_count,25,4.695022
no_metadata,gc_range_count,26,4.614535
no_metadata,gc_range_count,27,4.606114
no_metadata,gc_range_count,28,4.643078
no_metadata,gc_range_count,29,4.597018
no_metadata,gc_range_count,30,4.831815
no_metadata,top_100_longest,1,0.135298
no_metadata,top_100_longest,2,0.15132
no_metadata,top_100_longest,3,0.162178
no_metadata,top_100_longest,4,0.136814
no_metadata,top_100_longest,5,0.139532
no_metadata,top_100_longest,6,0.134003
no_metadata,top_100_longest,7,0.137725
no_metadata,top_100_longest,8,0.138432
no_metadata,top_100_longest,9,0.169904
no_metadata,top_100_longest,10,0.162187
no_metadata,top_100_longest,11,0.134985
no_metadata,top_100_longest,12,0.139846
no_metadata,top_100_longest,13,0.139111
no_metadata,top_100_longest,14,0.139164
no_metadata,top_100_longest,15,0.13863
no_metadata,top_100_longest,16,0.140452
no_metadata,top_100_longest,17,0.162587
no_metadata,top_100_longest,18,0.141553
no_metadata,top_100_longest,19,0.138961
no_metadata,top_100_longest,20,0.139456
no_metadata,top_100_longest,21,0.137673
no_metadata,top_100_longest,22,0.13865
no_metadata,top_100_longest,23,0.136409
no_metadata,top_100_longest,24,0.161596
no_metadata,top_100_longest,25,0.138649
no_metadata,top_100_longest,26,0.14104
no_metadata,top_100_longest,27,0.137703
no_metadata,top_100_longest,28,0.140119
no_metadata,top_100_longest,29,0.136894
no_metadata,top_100_longest,30,0.138569
no_metadata,indexed_lookup_batch_200,1,3.809406
no_metadata,indexed_lookup_batch_200,2,1.943926
no_metadata,indexed_lookup_batch_200,3,1.871108
no_metadata,indexed_lookup_batch_200,4,1.770067
no_metadata,indexed_lookup_batch_200,5,1.797904
no_metadata,indexed_lookup_batch_200,6,1.85644
no_metadata,indexed_lookup_batch_200,7,1.780761
