variant,query,median_ms,mean_ms,stddev_ms,minimum_ms,maximum_ms,p95_ms,workloads_per_second,logical_operations_per_second
metadata,accession_filter,1.319452,1.3891046,0.3709471470449665,1.28827,3.347322,1.432924,757.8903969223586,757.8903969223586
metadata,average_length,15.0143015,15.337118199999999,0.6936072519104146,14.724732,17.146184,17.073666,66.6031649890606,66.6031649890606
metadata,count_all,0.031176000000000002,0.0321127,0.0036988368735646326,0.030313,0.05065,0.036838,32075.95586348473,32075.95586348473
metadata,gc_range_count,4.558031,4.556810966666666,0.02404367570511315,4.509898,4.621843,4.587587,219.39297911751808,219.39297911751808
metadata,indexed_lookup_batch_200,1.629219,1.6353294,0.04304660865700062,1.561893,1.739464,1.71945,613.7910250248739,122758.20500497478
metadata,length_range_count,0.6619725000000001,0.6766616333333334,0.04385330339814645,0.639511,0.812086,0.80092,1510.6367711649652,1510.6367711649652
metadata,top_100_longest,0.098927,0.10157793333333333,0.009688229573625121,0.083224,0.139116,0.124012,10108.463816753769,10108.463816753769
no_metadata,accession_filter,2.0486240000000002,2.0681696333333335,0.053295247253638295,2.004181,2.218458,2.19619,488.1325221221658,488.1325221221658
no_metadata,average_length,14.8392755,14.935318599999999,0.45802038842231035,14.033631,16.169984,16.16448,67.38873471282342,67.38873471282342
no_metadata,count_all,0.029651999999999998,0.03133693333333333,0.005923574270095155,0.028984,0.056905,0.048299,33724.53797382976,33724.53797382976
no_metadata,gc_range_count,4.612297,4.659435966666666,0.17415121740255493,4.348134,5.355156,5.060269,216.8117100871865,216.8117100871865
no_metadata,indexed_lookup_batch_200,1.775414,1.8637540666666665,0.3824420009277886,1.674027,3.809406,2.215973,563.248909831735,112649.781966347
no_metadata,length_range_count,0.656077,0.6586043,0.02106830135068909,0.603276,0.704893,0.684161,1524.2113349500135,1524.2113349500135
no_metadata,top_100_longest,0.139036,0.14298133333333332,0.009939577436148652,0.134003,0.169904,0.162587,7192.3818291665475,7192.3818291665475
