organism,genus,n_plastics,plastics_degraded,breadth_score,rarity_score,recency_score,evidence_gap_score,novelty_potential,last_year,has_sequence,has_enzyme
Phanerochaete chrysosporium,Phanerochaete,11,"['LDPE', 'LDPE Blend', 'Nylon', 'PE', 'PHBV', 'PLA', 'PP', 'PS', 'PVA', 'PVC', 'PVC Blend']",50.0,91.32,90.0,50,68.33,2023.0,False,True
Bacillus sp.,Bacillus,20,"['HDPE', 'Impranil', 'LDPE', 'P34HB', 'PBAT', 'PBS', 'PCL', 'PE', 'PES', 'PET', 'PHB', 'PHBH', 'PHBV', 'PLA', 'PP', 'PS', 'PS Blend', 'PU', 'PVA', 'PVC']",90.91,29.39,90.0,50,65.12,2023.0,False,True
Serratia marcescens,Serratia,7,"['HDPE', 'LDPE', 'PCL', 'PE', 'PLA', 'PP', 'PS']",31.82,92.9,90.0,50,63.27,2023.0,False,True
Stenotrophomonas sp.,Stenotrophomonas,7,"['HDPE', 'LDPE', 'Nylon', 'PE', 'PHB', 'PU', 'PVA']",31.82,91.32,90.0,50,62.88,2023.0,False,True
Enterobacter sp.,Enterobacter,7,"['LDPE', 'PC', 'PHB', 'PHBV', 'PP', 'PS', 'PU']",31.82,90.93,90.0,50,62.78,2023.0,False,True
Arthrobacter sp.,Arthrobacter,7,"['HDPE', 'Nylon', 'PC', 'PCL', 'PHB', 'PHBV', 'PU']",31.82,96.06,60.0,50,58.06,2017.0,False,True
Penicillium sp.,Penicillium,7,"['LDPE', 'PC', 'PCL', 'PHA', 'PHB', 'PLA', 'PU']",31.82,73.96,85.0,50,57.54,2022.0,False,True
Streptomyces sp.,Streptomyces,16,"['LDPE', 'LDPE Blend', 'NR', 'PBS', 'PCL', 'PEA', 'PEC', 'PEG', 'PES', 'PET', 'PHB', 'PHBH', 'PHBV', 'PLA', 'PPL', 'PU']",72.73,56.61,100.0,0,55.97,2025.0,True,True
Aspergillus niger,Aspergillus,12,"['HDPE', 'LDPE', 'PBS', 'PCL', 'PE', 'PET', 'PETG', 'PHB', 'PLA', 'PU', 'PVA', 'PVC']",54.55,30.18,90.0,50,54.41,2023.0,False,True
Fusarium sp.,Fusarium,7,"['LDPE', 'Nylon', 'PC', 'PCL', 'PE', 'PHB', 'PU']",31.82,62.92,80.0,50,53.78,2021.0,False,True
Bacillus cereus,Bacillus,11,"['HDPE', 'LDPE', 'LLDPE', 'Nylon', 'PBAT', 'PC', 'PE', 'PES', 'PET', 'PHA', 'PS']",50.0,29.39,90.0,50,52.85,2023.0,False,True
Pseudomonas sp.,Pseudomonas,22,"['HDPE', 'LDPE', 'Nylon', 'O-PVA', 'PBS', 'PBSA', 'PCL', 'PE', 'PEG', 'PES', 'PET', 'PHA Blend', 'PHB', 'PHN', 'PHO', 'PLA', 'PP', 'PS', 'PS Blend', 'PU', 'PVA', 'PVC']",100.0,19.13,90.0,0,52.78,2023.0,True,True
Alcanivorax borkumensis,Alcanivorax,8,"['LDPE', 'PBAT', 'PBSA', 'PCL', 'PES', 'PHA', 'PHBV', 'PLA']",36.36,92.5,90.0,0,52.04,2023.0,True,True
Actinomadura sp.,Actinomadura,6,"['PBS', 'PBSA', 'PCL', 'PET', 'PHBV', 'PLA']",27.27,95.27,100.0,0,52.0,2025.0,True,True
Moraxella sp.,Moraxella,8,"['PBS', 'PCL', 'PE', 'PET', 'PHA', 'PHB', 'PLA', 'PU']",36.36,95.66,85.0,0,51.82,2022.0,True,True
Alcaligenes faecalis,Alcaligenes,7,"['HDPE', 'LDPE', 'LLDPE', 'PCL', 'PES', 'PHA', 'PHB']",31.82,95.66,90.0,0,51.46,2023.0,True,True
Rhizopus oryzae,Rhizopus,6,"['LDPE', 'PBAT', 'PBS', 'PBSA', 'PLA', 'PU']",27.27,95.66,90.0,0,50.1,2023.0,True,True
Marinobacter sp.,Marinobacter,7,"['Ecovio-FT', 'LDPE', 'PBAT', 'PBSeT', 'PET', 'PHA', 'PHB']",31.82,94.08,85.0,0,50.07,2022.0,True,True
Lihuaxuella thermophila,Lihuaxuella,6,"['PCL', 'PHA', 'PHB', 'PHBH', 'PHBVH', 'PLA']",27.27,97.63,85.0,0,49.59,2022.0,True,True
Pleurotus ostreatus,Pleurotus,5,"['LDPE', 'LDPE Blend', 'O-PE', 'PE Blend', 'PET']",22.73,97.63,90.0,0,49.23,2023.0,False,True
Purpureocillium lilacinum,Purpureocillium,5,"['PBAT', 'PBSA', 'PCL', 'PHB', 'PHBV']",22.73,97.24,90.0,0,49.13,2023.0,False,True
Amycolatopsis sp.,Amycolatopsis,7,"['PBAT', 'PBS', 'PCL', 'PET', 'PHB', 'PLA', 'PU']",31.82,78.3,100.0,0,49.12,2025.0,True,True
Enterobacter hormaechei,Enterobacter,6,"['HDPE', 'LLDPE', 'PBAT', 'PP', 'PS', 'PVC']",27.27,90.93,90.0,0,48.91,2023.0,False,True
Rhodococcus sp.,Rhodococcus,7,"['LDPE', 'PCL', 'PE', 'PET', 'PHB', 'PLA', 'PP']",31.82,85.4,90.0,0,48.9,2023.0,True,True
Achromobacter xylosoxidans,Achromobacter,5,"['HDPE', 'LDPE', 'Nylon', 'PE', 'PVC']",22.73,96.06,90.0,0,48.83,2023.0,False,True
Brevibacillus sp.,Brevibacillus,6,"['HDPE', 'LDPE', 'PCL', 'PE', 'PP', 'PU']",27.27,90.53,90.0,0,48.81,2023.0,False,True
Brevibacillus brevis,Brevibacillus,6,"['HDPE', 'LDPE', 'PCL', 'PE', 'PLA', 'PP']",27.27,90.53,90.0,0,48.81,2023.0,False,True
Uncultured bacterium,Uncultured,9,"['PBAT', 'PBS', 'PBSA', 'PCL', 'PES', 'PET', 'PHA', 'PHB', 'PLA']",40.91,77.91,85.0,0,48.75,2022.0,True,True
Priestia megaterium,Priestia,5,"['PC', 'PE', 'PHA', 'PHB', 'PLA']",22.73,95.27,90.0,0,48.63,2023.0,True,True
Exiguobacterium sp.,Exiguobacterium,5,"['HDPE', 'LDPE', 'PET', 'PP', 'PS']",22.73,94.08,90.0,0,48.34,2023.0,False,True
Clonostachys rosea,Clonostachys,3,"['PCL', 'PET', 'PU']",13.64,96.84,100.0,0,48.3,2025.0,True,True
Terribacillus sp.,Terribacillus,5,"['P(3HB-co-3HV)', 'P(3HV-co-4HB)', 'PBAT', 'PBS', 'PCL']",22.73,97.63,85.0,0,48.23,2022.0,False,False
Aureobasidium pullulans,Aureobasidium,5,"['PCL', 'PHB', 'PLA', 'PU', 'PVC Blend']",22.73,96.84,85.0,0,48.03,2022.0,False,True
Trichoderma sp.,Trichoderma,5,"['LDPE', 'PCL', 'PHA', 'PLA', 'PU']",22.73,92.5,90.0,0,47.94,2023.0,False,True
Stutzerimonas stutzeri,Stutzerimonas,8,"['P3HP', 'P4HB', 'PE', 'PEA', 'PEG', 'PES', 'PHB', 'PP']",36.36,95.66,65.0,0,47.82,2018.0,True,True
Aspergillus flavus,Aspergillus,7,"['HDPE', 'LDPE', 'PE', 'PET', 'PHB', 'PP', 'PU']",31.82,30.18,90.0,50,47.59,2023.0,False,True
