organism,bacdive_found,bacdive_strain_id,bacdive_url,bacdive_temp_c,bacdive_ph,bacdive_oxygen,bacdive_morphology,bacdive_isolation
Uncultured bacterium,No,,,,,,,
Pseudomonas sp.,Yes,170025,https://bacdive.dsmz.de/strain/170025,,,,,
Streptomyces sp.,Yes,15991,https://bacdive.dsmz.de/strain/15991,28; 30; 10; 45,,obligate aerobe,positive; rod-shaped,Sample typeSoil
Aspergillus niger,No,,,,,,,
Bacillus sp.,Yes,130,https://bacdive.dsmz.de/strain/130,45,,,Incubation period3-7 days,Hveravellier; Iceland; ISL; Europe
Aspergillus fumigatus,No,,,,,,,
Pseudomonas chlororaphis,Yes,13160,https://bacdive.dsmz.de/strain/13160,26; 28; 30; 5; 45,,aerobe,negative; rod-shaped,#Engineered; #Laboratory; #Contaminant
Bacillus pumilus,Yes,756,https://bacdive.dsmz.de/strain/756,30; 5; 10,,obligate aerobe,positive; rod-shaped,
Pseudomonas aeruginosa,Yes,12800,https://bacdive.dsmz.de/strain/12800,30; 44; 0; 37; 7; 4; 47; 5,,obligate aerobe,negative; 0.2-0.6 µm; rod-shaped,
Fusarium solani,No,,,,,,,
Agaricus bisporus,No,,,,,,,
Cupriavidus necator,Yes,2033,https://bacdive.dsmz.de/strain/2033,26; 28; 30,,aerobe,negative,#Environmental; #Terrestrial; #Soil
Bacillus cereus,Yes,624,https://bacdive.dsmz.de/strain/624,30; 10; 55,,facultative anaerobe,positive; rod-shaped,
Phanerochaete chrysosporium,No,,,,,,,
Fusarium oxysporum,No,,,,,,,
Thermobifida fusca,Yes,11256,https://bacdive.dsmz.de/strain/11256,50; 55; 45; 60; 35; 28; 10; 25; 30,,obligate aerobe,positive,#Environmental; #Terrestrial; #Soil
Saccharomonospora viridis,Yes,13414,https://bacdive.dsmz.de/strain/13414,45; 28; 50,,aerobe,,#Environmental; #Terrestrial; #Wetland (Swamp); #Condition; #Acidic
Amycolatopsis sp.,Yes,13224,https://bacdive.dsmz.de/strain/13224,28,,,,Sample typeSoil
Fusarium sp.,No,,,,,,,
Aspergillus terreus,No,,,,,,,
