organism,pubmed_plastic_count,pubmed_total_count
Uncultured bacterium,173.0,281.0
Pseudomonas sp.,4035.0,5651.0
Streptomyces sp.,3009.0,
Aspergillus niger,7307.0,12199.0
Bacillus sp.,2964.0,4426.0
Aspergillus fumigatus,6148.0,14902.0
Pseudomonas chlororaphis,,537.0
Bacillus pumilus,888.0,1561.0
Pseudomonas aeruginosa,38203.0,93281.0
Fusarium solani,1072.0,2634.0
Agaricus bisporus,933.0,1773.0
Cupriavidus necator,1405.0,1537.0
Bacillus cereus,6242.0,
Phanerochaete chrysosporium,1516.0,1683.0
Fusarium oxysporum,3030.0,6830.0
Thermobifida fusca,,379.0
Saccharomonospora viridis,29.0,49.0
Amycolatopsis sp.,107.0,155.0
Fusarium sp.,411.0,1067.0
Aspergillus terreus,1064.0,
Aspergillus flavus,3164.0,7055.0
Bacillus subtilis,29289.0,46405.0
Rhodococcus sp.,,1082.0
Aspergillus sp.,679.0,1610.0
Paucimonas lemoignei,,21.0
Alcanivorax borkumensis,101.0,113.0
Serratia marcescens,3980.0,9300.0
Ralstonia pickettii,189.0,366.0
Bacillus licheniformis,2604.0,3859.0
Pseudoalteromonas sp.,287.0,401.0
Penicillium sp.,,1366.0
Marinobacter sp.,86.0,123.0
Thermobifida cellulosilytica,26.0,27.0
Moraxella sp.,78.0,147.0
Penicillium chrysogenum,1492.0,2345.0
Priestia megaterium,,232.0
Stutzerimonas stutzeri,39.0,64.0
Stenotrophomonas sp.,231.0,307.0
Rhodococcus fascians,,151.0
Comamonas acidovorans,56.0,94.0
Pseudomonas putida,6977.0,8889.0
Enterobacter sp.,578.0,1119.0
Pseudomonas mendocina,229.0,303.0
Alcaligenes faecalis,664.0,1066.0
Pseudogymnoascus pannorum,3.0,22.0
Enterobacter hormaechei,,567.0
Cladosporium sp.,133.0,399.0
Pseudomonas fluorescens,4285.0,7080.0
Prerenniporia tephropora,7.0,10.0
Pseudomonas alcaligenes,146.0,228.0
Bacillus amyloliquefaciens,2036.0,
Phoma sp.,92.0,219.0
Achromobacter xylosoxidans,267.0,780.0
Arthrobacter sp.,684.0,
Fusarium verticillioides,683.0,1212.0
Trichoderma harzianum,923.0,1622.0
Roseateles depolymerans,12.0,16.0
Aspergillus oryzae,3003.0,3897.0
Exiguobacterium sp.,101.0,153.0
Amycolatopsis orientalis,83.0,106.0
Talaromyces funiculosus,25.0,37.0
Streptococcus sp.,209.0,687.0
Actinomadura sp.,66.0,93.0
Penicillium citrinum,365.0,707.0
Brevibacillus sp.,64.0,104.0
Penicillium simplicissimum,115.0,164.0
Brevibacillus brevis,83.0,131.0
Micromonospora sp.,117.0,202.0
Paenibacillus sp.,442.0,636.0
Schlegelella thermodepolymerans,7.0,11.0
Aureobasidium pullulans,595.0,
Purpureocillium lilacinum,82.0,289.0
Alcanivorax sp.,30.0,36.0
Rhizopus oryzae,774.0,1249.0
Paenibacillus amylolyticus,40.0,74.0
Phlebiopsis sp.,0.0,1.0
Comamonas testosteroni,453.0,535.0
Xylaria sp.,79.0,159.0
Schizophyllum commune,551.0,1055.0
Neopestalotiopsis phangngaensis,2.0,2.0
Lihuaxuella thermophila,3.0,5.0
Variovorax paradoxus,107.0,149.0
Aspergillus fischeri,47.0,78.0
Rhodococcus ruber,223.0,257.0
Fusarium equiseti,106.0,237.0
Streptomyces anulatus,30.0,49.0
VIbrio sp.,397.0,675.0
Comamonas sp.,171.0,203.0
Cryptococcus sp.,72.0,172.0
Pseudogymnoascus verrucosus,4.0,9.0
