organism,sra_run_count,sra_platforms,sra_strategies,sra_total_bases,sra_date_range
Uncultured bacterium,40287,ILLUMINA,AMPLICON,349497243.0,2026-2026
Pseudomonas sp.,1164,ILLUMINA,WGS,10585713.0,2026-2026
Streptomyces sp.,188,ILLUMINA,WGS,20318781668.0,2026-2026
Aspergillus niger,3101,CAPILLARY; ILLUMINA,AMPLICON; RNA-Seq,25290168380.0,2026-2026
Bacillus sp.,1052,ILLUMINA,WGS,1084482.0,2026-2026
Aspergillus fumigatus,7868,BGISEQ; ILLUMINA,WGS,18880892700.0,2026-2026
Pseudomonas chlororaphis,382,ILLUMINA; OXFORD_NANOPORE,AMPLICON; Tn-Seq; WGS,6828895179.0,2025-2026
Bacillus pumilus,363,ILLUMINA,WGS,26600925079.0,2026-2026
Pseudomonas aeruginosa,93879,ILLUMINA,WGS,6582989813.0,2026-2026
Fusarium solani,238,DNBSEQ,RNA-Seq,34932864600.0,2026-2026
Agaricus bisporus,653,DNBSEQ; ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGS,11056698747.0,2025-2026
Cupriavidus necator,425,ILLUMINA; OXFORD_NANOPORE,RNA-Seq; WGS,48089825935.0,2026-2026
Bacillus cereus,4813,ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGS,1506345654.0,2026-2026
Phanerochaete chrysosporium,238,ILLUMINA; PACBIO_SMRT,RNA-Seq,52170107231.0,2025-2025
Fusarium oxysporum,3101,ILLUMINA; OXFORD_NANOPORE,Hi-C; WGS,78915617841.0,2026-2026
Thermobifida fusca,52,ILLUMINA,RNA-Seq,5897858264.0,2026-2026
Saccharomonospora viridis,10,CAPILLARY; ILLUMINA; PACBIO_SMRT,AMPLICON; OTHER; WGA; WGS,1172945762.0,2016-2023
Amycolatopsis sp.,2,ILLUMINA,AMPLICON,1723857000.0,2025-2025
Fusarium sp.,213,DNBSEQ; ILLUMINA,AMPLICON; OTHER; WGS,16218840671.0,2025-2026
Aspergillus terreus,197,DNBSEQ; ILLUMINA,AMPLICON; RNA-Seq,61631205221.0,2025-2026
Aspergillus flavus,3025,ILLUMINA,RNA-Seq,36031980900.0,2026-2026
Bacillus subtilis,10580,ILLUMINA,AMPLICON; RNA-Seq; WGS,40416825977.0,2026-2026
Rhodococcus sp.,0,,,,
Aspergillus sp.,98,DNBSEQ; ILLUMINA,AMPLICON; OTHER; RNA-Seq,23839665695.0,2025-2026
Paucimonas lemoignei,2,ILLUMINA; PACBIO_SMRT,WGS,4726917948.0,2016-2019
Alcanivorax borkumensis,15,ILLUMINA,RNA-Seq,10841088693.0,2024-2024
Serratia marcescens,6719,ILLUMINA,WGS,1547102761.0,2026-2026
Ralstonia pickettii,208,ILLUMINA,WGS,6229210500.0,2026-2026
Bacillus licheniformis,552,ILLUMINA; PACBIO_SMRT,WGS,4273143696.0,2026-2026
Pseudoalteromonas sp.,145,ILLUMINA,AMPLICON; WGS,2612931438.0,2025-2026
Penicillium sp.,184,DNBSEQ; ILLUMINA,AMPLICON; OTHER,7093.0,2025-2025
