uniprot,status,sequence_length,url,cached_fasta,sha256,retrieved_at_utc
G9BY57,resolved,293,https://rest.uniprot.org/uniprotkb/G9BY57.fasta,/home/runner/workspace/logan-database-benchmarks/data/metadata/uniprot/G9BY57.fasta,1965e92851cd6aca5e39aaeb503f35d828c5b75ca1e81b2ed1420f521438b32a,2026-09-08T03:37:40.877882+00:00
A0A0K8P8H7,resolved,912,https://rest.uniprot.org/uniprotkb/A0A0K8P8H7.fasta,/home/runner/workspace/logan-database-benchmarks/data/metadata/uniprot/A0A0K8P8H7.fasta,b7a74913561d31d0091f00150509e7d30d8ccf7cc80dddb35055864aa45b2f4a,2026-09-08T03:37:41.426813+00:00
Q47RJ6,resolved,301,https://rest.uniprot.org/uniprotkb/Q47RJ6.fasta,/home/runner/workspace/logan-database-benchmarks/data/metadata/uniprot/Q47RJ6.fasta,05c5fd2f984b131890e2fa016db629a931319449ea3ab9e54e70384a7af58ad6,2026-09-08T03:37:41.981554+00:00
,missing_accession,0,,,,
,missing_accession,0,,,,
,missing_accession,0,,,,
A0A6M3YWE3,not_resolved,0,https://rest.uniprot.org/uniprotkb/A0A6M3YWE3.fasta,,,2026-09-08T03:41:26.111469+00:00
,missing_accession,0,,,,
,missing_accession,0,,,,
,missing_accession,0,,,,
P20594,resolved,1047,https://rest.uniprot.org/uniprotkb/P20594.fasta,/home/runner/workspace/logan-database-benchmarks/data/metadata/uniprot/P20594.fasta,82ec718c10432e73ce30f3792fc75330320765ea1f2d06c07b9364e9d576b596,2026-09-08T03:37:43.122041+00:00
Q9F3L4,resolved,386,https://rest.uniprot.org/uniprotkb/Q9F3L4.fasta,/home/runner/workspace/logan-database-benchmarks/data/metadata/uniprot/Q9F3L4.fasta,3301e33b58379fca7871b0fe81a3a878ea020b99bb81f6d193be9336f3ecbd37,2026-09-08T03:37:43.675451+00:00
O87625,resolved,309,https://rest.uniprot.org/uniprotkb/O87625.fasta,/home/runner/workspace/logan-database-benchmarks/data/metadata/uniprot/O87625.fasta,58b489e87476ec84331f5c0bfc0a0a9092650771e2700f9f7da9a7b90db53fc6,2026-09-08T03:37:44.230313+00:00
,missing_accession,0,,,,
Q9ZIQ4,resolved,150,https://rest.uniprot.org/uniprotkb/Q9ZIQ4.fasta,/home/runner/workspace/logan-database-benchmarks/data/metadata/uniprot/Q9ZIQ4.fasta,f76b313720fca83a360862a9f61b0e2d651e57a5e54ccdf176f08b88d391a5e6,2026-09-08T03:37:44.782883+00:00
,missing_accession,0,,,,
P16417,resolved,141,https://rest.uniprot.org/uniprotkb/P16417.fasta,/home/runner/workspace/logan-database-benchmarks/data/metadata/uniprot/P16417.fasta,d227e0a49ce5175cca853a6570e0ce2513cf1bb4675e49d6a24d80d4466f052a,2026-09-08T03:37:45.336722+00:00
,missing_accession,0,,,,
P10163,resolved,310,https://rest.uniprot.org/uniprotkb/P10163.fasta,/home/runner/workspace/logan-database-benchmarks/data/metadata/uniprot/P10163.fasta,0489682101c0571ab9a79034c494fa6c120c09af5b9d25ba930eaba8cdd0f87e,2026-09-08T03:37:45.895396+00:00
P10162,resolved,310,https://rest.uniprot.org/uniprotkb/P10162.fasta,/home/runner/workspace/logan-database-benchmarks/data/metadata/uniprot/P10162.fasta,0489682101c0571ab9a79034c494fa6c120c09af5b9d25ba930eaba8cdd0f87e,2026-09-08T03:37:46.701264+00:00
Q9X4G0,resolved,432,https://rest.uniprot.org/uniprotkb/Q9X4G0.fasta,/home/runner/workspace/logan-database-benchmarks/data/metadata/uniprot/Q9X4G0.fasta,9542af0d5d7890ad225953bee7a7042423958344c63169f14f730160d673b67f,2026-09-08T03:37:47.260125+00:00
Q9X4G1,resolved,509,https://rest.uniprot.org/uniprotkb/Q9X4G1.fasta,/home/runner/workspace/logan-database-benchmarks/data/metadata/uniprot/Q9X4G1.fasta,e232014199959693acc7c8155aadd156f59d72ad2a63f496a30578cfe94c7b04,2026-09-08T03:37:47.818235+00:00
Q4KE02,resolved,151,https://rest.uniprot.org/uniprotkb/Q4KE02.fasta,/home/runner/workspace/logan-database-benchmarks/data/metadata/uniprot/Q4KE02.fasta,9f373c9226af7eafa9e4053ed0805631206bf1f90a1e69d11f2d2f980b3a5da8,2026-09-08T03:37:48.372208+00:00
,missing_accession,0,,,,
