sequence_id,reference_id,identity_pct,aligned_aa,query_length_nt,subject_length_aa,subject_start,subject_end,evalue,bitscore,subject_coverage,hit_rank
DRR000185_1066,ref_a1e3671a8fb81e5e,30.2,434,1418,467,48,466,1.01e-57,192.0,0.8972162740899358,1
DRR000185_1467,ref_067339e228f8479f,59.4,234,689,402,17,246,1.4900000000000002e-100,292.0,0.572139303482587,1
DRR000185_1467,ref_1f9b512005633c3b,60.0,235,689,420,76,300,2.9e-91,269.0,0.5357142857142857,2
DRR000185_1467,ref_cb7a7743d531860f,56.2,235,689,419,37,267,1.32e-86,257.0,0.5513126491646778,3
DRR000185_1467,ref_78f76ae33a6754f4,55.7,235,689,431,47,277,1.48e-85,254.0,0.5359628770301624,4
DRR000185_1467,ref_e56076c6bc1713b1,47.5,238,689,432,12,245,4.3100000000000004e-73,223.0,0.5416666666666666,5
DRR000185_1516,ref_9f8c70fae9ab6aca,31.7,202,917,305,97,291,8.16e-19,79.0,0.639344262295082,1
DRR000185_1800,ref_ae31b49d2c9cff68,30.9,256,1964,260,11,256,1.28e-31,117.0,0.9461538461538461,1
DRR000185_238,ref_f4f65a9a0931564b,32.8,259,3128,386,53,298,1e-26,107.0,0.6373056994818653,1
DRR000185_264,ref_ae31b49d2c9cff68,37.4,257,2563,260,9,259,3.3299999999999996e-45,157.0,0.9653846153846154,1
DRR000185_328,ref_593a4fc19ba43d3f,43.9,246,1414,379,109,341,2.4400000000000002e-58,191.0,0.6147757255936676,1
DRR000185_328,ref_83d3db437baac3b7,43.2,243,1414,269,4,228,1.27e-53,175.0,0.8364312267657993,2
DRR000185_328,ref_636fdedc2969e720,43.2,243,1414,269,4,228,1.77e-53,175.0,0.8364312267657993,3
DRR000185_328,ref_f2f1eaf3dae2a981,32.2,276,1414,384,102,343,7.57e-27,105.0,0.6302083333333334,4
DRR000185_386,ref_a1e3671a8fb81e5e,36.3,474,3558,467,1,466,1.85e-89,291.0,0.9978586723768736,1
DRR000185_466,ref_ae31b49d2c9cff68,36.1,166,5209,260,6,167,4.81e-24,97.4,0.6230769230769231,1
DRR000185_484,ref_a1e3671a8fb81e5e,32.2,472,3069,467,2,457,3.2900000000000003e-57,199.0,0.9764453961456103,1
DRR000185_489,ref_a1e3671a8fb81e5e,39.3,468,2987,467,7,466,4.32e-101,319.0,0.9850107066381156,1
DRR000185_616,ref_636fdedc2969e720,46.8,269,1165,269,6,269,2.02e-73,224.0,0.9814126394052045,1
DRR000185_616,ref_593a4fc19ba43d3f,40.8,358,1165,379,36,379,7.35e-72,224.0,0.9076517150395779,2
DRR000185_616,ref_83d3db437baac3b7,46.5,269,1165,269,6,269,4.03e-73,223.0,0.9814126394052045,3
DRR000185_616,ref_f2f1eaf3dae2a981,35.8,332,1165,384,36,346,1.02e-40,142.0,0.8098958333333334,4
DRR000185_739,ref_a1e3671a8fb81e5e,31.9,477,2596,467,7,466,2.25e-71,237.0,0.9850107066381156,1
DRR000185_83,ref_1b1894af8daf2c15,32.7,419,2024,428,43,387,2.11e-65,216.0,0.8060747663551402,1
DRR000185_921,ref_9860f49cffeb6842,95.8,260,2968,305,1,260,1.0600000000000001e-173,502.0,0.8524590163934426,1
DRR001026_2722,ref_a1e3671a8fb81e5e,32.7,339,1081,467,77,407,1.67e-43,150.0,0.708779443254818,1
DRR001152_1215,ref_2b9bda8f69154c8e,35.6,132,516,141,15,140,6.599999999999999e-23,83.2,0.8936170212765957,1
DRR001152_2889,ref_2b9bda8f69154c8e,50.8,132,504,141,10,141,4.65e-42,132.0,0.9361702127659575,1
